Group,ID,List,Target,ACC,RT,logRT,Critical_Filler,Word_Nonword,Relation_type,Branching
L1,L1_02,B,uncleverness,1,1055,6.9613,Critical,Word,Unrelated,Left
L1,L1_02,B,feltowship,1,624,6.4362,Filler,Nonword,Phonological,NA
L1,L1_02,B,tranquallity,0,586,6.3733,Filler,Nonword,Unrelated,NA
L1,L1_02,B,reobtainable,0,693,6.5410,Critical,Word,Unrelated,Left
L1,L1_02,B,untouchable,1,607,6.4085,Critical,Word,Constituent,Right
L1,L1_02,B,reclosable,1,855,6.7511,Critical,Word,Unrelated,Left
L1,L1_02,B,untruthful,1,644,6.4677,Critical,Word,Constituent,Right
L1,L1_02,B,categerize,0,563,6.3333,Filler,Nonword,Phonological,NA
L1,L1_02,B,tonfinement,1,612,6.4167,Filler,Nonword,Phonological,NA
L1,L1_02,B,fersistent,1,689,6.5352,Filler,Nonword,Phonological,NA
L1,L1_02,B,unholiness,1,997,6.9048,Critical,Word,NonConstituent,Left
L1,L1_02,B,unclearness,1,1147,7.0449,Critical,Word,NonConstituent,Left
L1,L1_02,B,letirement,1,912,6.8156,Filler,Nonword,Unrelated,NA
L1,L1_02,B,reterminism,1,753,6.6241,Filler,Nonword,Phonological,NA
L1,L1_02,B,fisterhood,1,633,6.4505,Filler,Nonword,Unrelated,NA
L1,L1_02,B,veclaration,1,564,6.3351,Filler,Nonword,Unrelated,NA
L1,L1_02,B,mitigation,0,511,6.2364,Filler,Word,Semantic,NA
L1,L1_02,B,unavoidable,1,970,6.8773,Critical,Word,Unrelated,Right
L1,L1_02,B,nistributor,1,755,6.6267,Filler,Nonword,Unrelated,NA
L1,L1_02,B,original,1,969,6.8763,Filler,Word,Semantic,NA
L1,L1_02,B,unresentful,0,1218,7.1050,Critical,Word,Unrelated,Right
L1,L1_02,B,bederalism,1,771,6.6477,Filler,Nonword,Phonological,NA
L1,L1_02,B,reusable,1,845,6.7393,Critical,Word,Unrelated,Left
L1,L1_02,B,merformance,1,732,6.5958,Filler,Nonword,Unrelated,NA
L1,L1_02,B,acceleration,1,581,6.3648,Filler,Word,Semantic,NA
L1,L1_02,B,specificity,1,640,6.4615,Filler,Word,Semantic,NA
L1,L1_02,B,unbreakable,1,685,6.5294,Critical,Word,Constituent,Right
L1,L1_02,B,pastionless,0,928,6.8330,Filler,Nonword,Unrelated,NA
L1,L1_02,B,studious,1,611,6.4151,Filler,Word,Phonological,NA
L1,L1_02,B,electricity,1,549,6.3081,Filler,Word,Phonological,NA
L1,L1_02,B,unkindness,1,724,6.5848,Critical,Word,Unrelated,Left
L1,L1_02,B,unskillful,1,663,6.4968,Critical,Word,Constituent,Right
L1,L1_02,B,adsurdly,1,969,6.8763,Filler,Nonword,Unrelated,NA
L1,L1_02,B,hontractor,1,667,6.5028,Filler,Nonword,Phonological,NA
L1,L1_02,B,gepression,1,632,6.4489,Filler,Nonword,Unrelated,NA
L1,L1_02,B,unhappiness,1,530,6.2729,Critical,Word,Constituent,Left
L1,L1_02,B,shiendship,1,518,6.2500,Filler,Nonword,Phonological,NA
L1,L1_02,B,iddustrious,1,498,6.2106,Filler,Nonword,Unrelated,NA
L1,L1_02,B,university,0,818,6.7069,Filler,Word,Semantic,NA
L1,L1_02,B,recomputable,1,816,6.7044,Critical,Word,Constituent,Left
L1,L1_02,B,gategorical,1,699,6.5497,Filler,Nonword,Unrelated,NA
L1,L1_02,B,reattachable,1,893,6.7946,Critical,Word,NonConstituent,Left
L1,L1_02,B,vechanize,1,875,6.7742,Filler,Nonword,Phonological,NA
L1,L1_03,C,botherhood,1,787,6.6682,Filler,Nonword,Phonological,NA
L1,L1_03,C,hospitality,1,506,6.2265,Filler,Word,Phonological,NA
L1,L1_03,C,rationalist,1,1037,6.9441,Filler,Word,Phonological,NA
L1,L1_03,C,tonfinement,1,602,6.4003,Filler,Nonword,Phonological,NA
L1,L1_03,C,danufacturer,1,714,6.5709,Filler,Nonword,Unrelated,NA
L1,L1_03,C,specificity,1,655,6.4846,Filler,Word,Semantic,NA
L1,L1_03,C,stewirdship,1,660,6.4922,Filler,Nonword,Unrelated,NA
L1,L1_03,C,gresidential,0,556,6.3208,Filler,Nonword,Unrelated,NA
L1,L1_03,C,unholiness,1,860,6.7569,Critical,Word,Unrelated,Left
L1,L1_03,C,tranquallity,0,817,6.7056,Filler,Nonword,Unrelated,NA
L1,L1_03,C,iddustrious,1,703,6.5554,Filler,Nonword,Unrelated,NA
L1,L1_03,C,unbreakable,1,695,6.5439,Critical,Word,Constituent,Right
